time,latitude,longitude,mag,id,updated,place,type,geom,state
2014-08-17 06:18:43.2-04,36.8605,-97.873,3.4,usb000s3in,2015-01-30 21:00:17.245-05,"13km WNW of Medford, Oklahoma",earthquake,0101000020AD1000001C5A643BDF7758C0A01A2FDD246E4240,Oklahoma
2014-08-16 10:54:24.8-04,36.8611,-97.8714,3.4,usb000s3bx,2014-11-14 23:07:11-05,"13km WNW of Medford, Oklahoma",earthquake,0101000020AD100000006F8104C57758C0F54A5986386E4240,Oklahoma
2014-08-14 14:15:31.6-04,35.8614,-97.3225,3.2,usb000s2lv,2015-01-30 10:32:28.155-05,"9km ESE of Guthrie, Oklahoma",earthquake,0101000020AD100000713D0AD7A35458C02063EE5A42EE4140,Oklahoma
2014-08-13 15:44:28.1-04,36.6268,-97.685,3.3,usb000s2e7,2015-01-29 22:21:22.069-05,"20km SSE of Medford, Oklahoma",earthquake,0101000020AD100000A4703D0AD76B58C000917EFB3A504240,Oklahoma
2014-08-12 12:34:19.1-04,36.044,-97.514,3,usb000s23g,2014-11-07 16:47:40-05,"12km NE of Crescent, Oklahoma",earthquake,0101000020AD10000037894160E56058C01383C0CAA1054240,Oklahoma
2014-08-10 22:29:04.28-04,36.2885,-97.1224,3.3,usb000s1r9,2014-11-07 16:47:38-05,"14km E of Perry, Oklahoma",earthquake,0101000020AD100000F241CF66D54758C0B0726891ED244240,Oklahoma
2014-08-10 14:54:27.28-04,36.859,-97.863,3.3,usb000s1px,2015-01-30 03:18:55.43-05,"12km WNW of Medford, Oklahoma",earthquake,0101000020AD100000AC1C5A643B7758C0CBA145B6F36D4240,Oklahoma
2014-08-08 20:58:40.1-04,35.8156,-97.4221,3,usb000s1hp,2015-01-30 14:14:55.12-05,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD10000010E9B7AF035B58C00E4FAF9465E84140,Oklahoma
2014-08-08 20:45:37.8-04,35.8142,-97.4172,3,usb000s1hm,2014-11-07 16:47:36-05,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD10000009F9A067B35A58C09C33A2B437E84140,Oklahoma
2014-08-08 20:21:56.8-04,35.8158,-97.4201,3.3,usb000s1hi,2015-01-29 14:14:55.279-05,"7km S of Guthrie, Oklahoma",earthquake,0101000020AD1000002D431CEBE25A58C0D50968226CE84140,Oklahoma
2014-08-08 18:07:48.1-04,35.82,-97.429,3.3,usb000s1gp,2015-01-30 08:46:03.62-05,"6km S of Guthrie, Oklahoma",earthquake,0101000020AD100000FA7E6ABC745B58C0295C8FC2F5E84140,Oklahoma
2014-08-07 16:39:21.4-04,36.8175,-97.9961,3.2,usb000s13k,2015-01-30 14:35:59.031-05,"23km W of Medford, Oklahoma",earthquake,0101000020AD100000EBE2361AC07F58C0713D0AD7A3684240,Oklahoma
2014-08-07 16:03:44.4-04,35.5776,-97.277,3,usb000s1cj,2014-11-07 16:47:35-05,"1km NE of Jones, Oklahoma",earthquake,0101000020AD1000007D3F355EBA5158C0B515FBCBEEC94140,Oklahoma
2014-08-06 16:06:44.69-04,36.581,-97.606,3,usb000s10u,2015-01-30 14:10:52.783-05,"27km SSE of Medford, Oklahoma",earthquake,0101000020AD100000115839B4C86658C0ED7C3F355E4A4240,Oklahoma
2014-08-05 17:09:56.89-04,36.818,-97.989,3.3,usb000s0eu,2015-01-30 11:07:14.015-05,"22km W of Medford, Oklahoma",earthquake,0101000020AD1000009DEFA7C64B7F58C063105839B4684240,Oklahoma
